\,,,,,,,,,,,,,,,,,,,,Web Exclusive: Apoca-Blitz Eternal Dragon Combo Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Make new entries by COPY and INSERTING whole ROW (Autobuilder needs the calculations from the right-side of doc,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack I: Coin + TP!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Autobuilder formula will need to be updated if more than 10 items are required in offer,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack II: 4SG Token!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack III: SNATCH IT ALL UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Creepin' It Real Apoca-Blitz Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate,,,oct2022_live,,,,,,,,,,,,,,,,,Creepin' It Real Apoca-Blitz Special - 3X VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offer Section ID,,,Section_Oct2022_Special,,,,,,,,,,,,,,,,,Tokens of Terror Apoca-Blitz Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Paralyzing Prize Wall Combo,,,,Data Formatting and Checks,,,,,,,Offer Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,The Graveyard Pack,,,,*itemID check,*schedule,*schedule,*items,*loc data1,*loc data2,*art format,offerid,gate,Platform,Global Offer,Offer Type,Alternative CostID,Alternative Cost Amount,Weight,Offer Section,Combination Type,Is Nested,Price,Tag,Stock Quantity,Offer Priority,Show Stock,Featured,Show in Store,Start Times,End Times,Repeat Weekly,Restock,Items,Store Image Name,Store Image Tagline,Store Image Description,Store Item Image,Description Text,Badge Text,Layout Type,Background Image,Enable Glow Effect,Item Images,Item Texts
PIVOTS,,,,,,,,,,,,,,,,,,,,The Graveyard Special - X4 VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design
Complete",Offer ID,Tag,Start DATE,"Start TIME
HH:MM (UTC)",End DATE,"End TIME
HH:MM (UTC)",Offer Type,Price,"Price
Display",Discount,Offer Name Loc,Offer Desc Loc,,Pack Value,EV,Special Notes,"Display
*Current data used as placeholder data for CSV upload.",,,Paralyzing Points Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,20_oct2022_wk3_mon_pivot,,6/1/2021,19:00,6/2/2021,19:00,Standard,$20,NoCashOffer1999,0.00%,Villainous Value Special,template 1 description goes here,,$0.00,0.00%,League Segmentation,Loc Name,!!OFFERS_20_OCT2022_WK3_MON_PIVOT,,Twisted Turnbuckle Pack,,,,,"06/01/2021,19:00","06/02/2021,19:00",,!!OFFERS_20_OCT2022_WK3_MON_PIVOT,Villainous Value Special,,20_oct2022_wk3_mon_pivot,oct2022_live,both,yes,Standard,,,100,Section_Oct2022_Special,Banner,no,NoCashOffer1999,,1,,yes,yes,yes,"06/01/2021,19:00;06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00","06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00;06/08/2021,19:00","false,false,false,false,false,false,false","true,true,true,true,true,true,true",":7,:10000000,:1,:1",!!OFFERS_20_OCT2022_WK3_MON_PIVOT,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,UI/Store/20_oct2022_wk3_mon_pivot,!!BLANK,,BGAndItemsCentered,UI/StoreV2/OfferBGs/Offer_Banner_MT0622_LootCoin5,no,UI/Currency/Currency_Blank,x1
,Platform,Popup,Multi Schedule,,,,Alt Currency ID,Alt Price,Stock,$20.00,Item Name,Item ID,Qty,Item Value,Total Value,,Loc Desc,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,,Eerie Evo Pack,,,,,";06/02/2021,19:00",";06/03/2021,19:00",,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,template 1 description goes here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
